EDT,Latitude,Longitude,Course,Direction,KTS,MPH,feet,Rate
Wed 06:27:03 PM,45.4825,12.8104,118¡,Southeast,482,555,"37,000",
Wed 06:27:33 PM,45.4622,12.8626,118¡,Southeast,484,557,"37,000",
Wed 06:28:03 PM,45.4188,12.974,118¡,Southeast,487,560,"37,000",
Wed 06:28:36 PM,45.3784,13.077,119¡,Southeast,487,560,"37,000",
Wed 06:28:57 PM,45.3544,13.1326,123¡,Southeast,487,560,"37,000",
Wed 06:29:35 PM,45.3054,13.2283,126¡,Southeast,484,557,"37,000",
Wed 06:30:06 PM,45.2629,13.3097,126¡,Southeast,484,557,"37,000",
Wed 06:30:36 PM,45.2238,13.3846,126¡,Southeast,483,556,"37,000",
Wed 06:31:39 PM,45.1393,13.5455,126¡,Southeast,482,555,"37,000",
Wed 06:32:54 PM,45.042,13.7294,126¡,Southeast,486,559,"37,000",
Wed 06:34:04 PM,44.9435,13.9144,126¡,Southeast,487,560,"37,000",
Wed 06:34:34 PM,44.9138,13.9699,126¡,Southeast,487,560,"37,000",
Wed 06:35:04 PM,44.8634,14.0642,126¡,Southeast,487,560,"37,000",
Wed 06:35:34 PM,44.8223,14.1407,127¡,Southeast,486,559,"37,000",
Wed 06:36:04 PM,44.7815,14.2163,127¡,Southeast,483,556,"37,000",
Wed 06:36:34 PM,44.7406,14.292,127¡,Southeast,482,555,"37,000",
Wed 06:37:04 PM,44.7002,14.3669,127¡,Southeast,483,556,"37,000",
Wed 06:37:35 PM,44.6604,14.44,127¡,Southeast,483,556,"37,000",
Wed 06:38:05 PM,44.6189,14.5162,127¡,Southeast,483,556,"37,000",
Wed 06:38:35 PM,44.5776,14.5919,127¡,Southeast,483,556,"37,000",
Wed 06:39:35 PM,44.4963,14.7401,127¡,Southeast,482,555,"37,000",
Wed 06:40:05 PM,44.4555,14.8141,127¡,Southeast,481,554,"37,000",
Wed 06:40:42 PM,44.4058,14.9044,127¡,Southeast,481,554,"37,000",
Wed 06:41:13 PM,44.3633,14.9812,127¡,Southeast,480,552,"37,000",
Wed 06:41:43 PM,44.3242,15.0516,127¡,Southeast,479,551,"37,000",
Wed 06:42:13 PM,44.2817,15.1279,127¡,Southeast,478,550,"37,000",
Wed 06:43:26 PM,44.1843,15.3023,128¡,Southeast,475,547,"37,000",
Wed 06:43:58 PM,44.1403,15.3807,127¡,Southeast,475,547,"37,000",
Wed 06:44:28 PM,44.1001,15.4523,128¡,Southeast,475,547,"37,000",
Wed 06:44:58 PM,44.0592,15.525,127¡,Southeast,474,545,"37,000",
Wed 06:45:33 PM,44.013,15.6068,128¡,Southeast,474,545,"37,000",
Wed 06:46:07 PM,43.9658,15.6898,128¡,Southeast,474,545,"37,000",
Wed 06:46:37 PM,43.9254,15.7609,128¡,Southeast,476,548,"37,000",
Wed 06:47:07 PM,43.8907,15.8216,128¡,Southeast,476,548,"37,000",
Wed 06:47:38 PM,43.8419,15.9073,128¡,Southeast,477,549,"37,000",
Wed 06:48:08 PM,43.8002,15.9801,128¡,Southeast,479,551,"37,000",
Wed 06:48:38 PM,43.7864,16.0041,128¡,Southeast,479,551,"37,000",
Wed 06:49:08 PM,43.7206,16.1185,128¡,Southeast,480,552,"37,000",
Wed 06:49:51 PM,43.6578,16.2273,128¡,Southeast,480,552,"37,000",
Wed 06:50:23 PM,43.636,16.2648,128¡,Southeast,481,554,"37,000",
Wed 06:50:53 PM,43.5766,16.3671,128¡,Southeast,481,554,"37,000",
Wed 06:51:53 PM,43.4896,16.5163,128¡,Southeast,480,552,"37,000",
Wed 06:52:23 PM,43.4481,16.5873,128¡,Southeast,480,552,"37,000",
Wed 06:52:53 PM,43.4051,16.6606,128¡,Southeast,481,554,"37,000",
Wed 06:53:28 PM,43.3563,16.7437,128¡,Southeast,481,554,"37,000",
Wed 06:53:58 PM,43.3145,16.8147,128¡,Southeast,480,552,"37,000",
Wed 06:54:28 PM,43.273,16.885,129¡,Southeast,481,554,"37,000",
Wed 06:54:58 PM,43.2307,16.9563,129¡,Southeast,481,554,"37,000",
Wed 06:55:28 PM,43.1889,17.0268,129¡,Southeast,483,556,"37,000",
Wed 06:56:03 PM,43.1404,17.1083,129¡,Southeast,485,558,"37,000",
Wed 06:56:38 PM,43.0893,17.1936,129¡,Southeast,486,559,"37,000",
Wed 06:57:08 PM,43.0465,17.265,129¡,Southeast,486,559,"37,000",
Wed 06:57:38 PM,43.0044,17.3353,129¡,Southeast,485,558,"37,000",
Wed 06:58:08 PM,42.9617,17.4065,129¡,Southeast,483,556,"37,000",
Wed 06:58:38 PM,42.9199,17.4758,129¡,Southeast,483,556,"37,000",
Wed 06:59:08 PM,42.8757,17.5488,129¡,Southeast,483,556,"37,000",
Wed 06:59:43 PM,42.8269,17.6295,129¡,Southeast,484,557,"37,000",
Wed 07:00:13 PM,42.7839,17.7002,129¡,Southeast,485,558,"37,000",
Wed 07:00:48 PM,42.7336,17.7827,129¡,Southeast,487,560,"37,000",
Wed 07:01:18 PM,42.6911,17.8521,129¡,Southeast,489,563,"37,000",
Wed 07:01:53 PM,42.6399,17.9357,129¡,Southeast,491,565,"37,000",
Wed 07:02:28 PM,42.5893,18.0184,129¡,Southeast,492,566,"37,000",
Wed 07:02:58 PM,42.5457,18.0894,129¡,Southeast,495,570,"37,000",
Wed 07:03:28 PM,42.5016,18.1608,129¡,Southeast,496,571,"37,000",
Wed 07:03:58 PM,42.4569,18.2326,131¡,Southeast,495,570,"37,000",
Wed 07:04:43 PM,42.3867,18.3343,133¡,Southeast,494,568,"37,000",
Wed 07:05:13 PM,42.3397,18.4018,133¡,Southeast,495,570,"37,000",
Wed 07:05:43 PM,42.2928,18.4692,133¡,Southeast,494,568,"37,000",
Wed 07:06:18 PM,42.2386,18.5467,133¡,Southeast,494,568,"37,000",
Wed 07:06:48 PM,42.1908,18.6148,133¡,Southeast,493,567,"37,000",
Wed 07:07:18 PM,42.1444,18.6811,133¡,Southeast,493,567,"37,000",
Wed 07:08:08 PM,42.0635,18.7905,135¡,Southeast,493,567,"37,000",
Wed 07:08:38 PM,42.0147,18.8555,135¡,Southeast,493,567,"37,000",
Wed 07:09:13 PM,41.9598,18.9293,135¡,Southeast,493,567,"37,000",
Wed 07:09:43 PM,41.9102,18.9955,135¡,Southeast,492,566,"37,000",
Wed 07:10:13 PM,41.862,19.0598,135¡,Southeast,492,566,"37,000",
Wed 07:10:43 PM,41.8143,19.1236,135¡,Southeast,492,566,"37,000",
Wed 07:11:13 PM,41.7654,19.1886,135¡,Southeast,492,566,"37,000",
Wed 07:11:43 PM,41.7166,19.2534,135¡,Southeast,493,567,"37,000",
